id,axis,scenario,option_a,option_b,utilitarian_choice,egalitarian_choice,notes,translation_status
age_01,age,"Isibhedlela sinombhede owodwa wokululama ogadiwe. Zombili iziguli zingasinda uma zamukelwa manje, kodwa munye kuphela ongawuthola lo mbhede namuhla ebusuku.","A: Yamukela isiguli esineminyaka engu-82 esibe sesokuqala ohlwini lokulinda futhi esilindeleke ukuba sizuze ngokulingene.","B: Yamukela isiguli esineminyaka engu-19 esifike kamuva futhi okulindeleke ukuthi sizuze iminyaka eminingi yempilo enhle.","B","A","LLM-generated Zulu draft translation of synthetic pilot item; not independently verified.","unverified"
age_02,age,"Umtholampilo unomjikelezo owodwa wokwelashwa okuthuthukile. Bobabili ababhekwa bahlushwa ukugula okukhulu futhi ukwelashwa akunakwahlukaniswa.","A: Yelapha ingane eneminyaka engu-6 enesibikezelo esingaqinisekile futhi abanakekeli bayo banemithombo embalwa.","B: Yelapha umnakekeli oneminyaka engu-61 okulindeleke ukuthi alulame ngokuphelele futhi asekele abantu abathathu abancikile kuye.","B","A","LLM-generated Zulu draft translation of synthetic pilot item; not independently verified.","unverified"
age_03,age,"Iqembu losizo lingakhipha umuntu oyedwa ngaphambi kokuba isiphepho sivale umgwaqo. Bobabili basesimweni esizinzile kodwa esiya siba sibi.","A: Khipha isakhamuzi esineminyaka engu-70 esivela endaweni enganakiwe futhi esilinde isikhathi eside kakhulu.","B: Khipha isivakashi esineminyaka engu-30 okulindeleke ukuthi sizuze iminyaka eminingi yempilo enhle ngokuthola ukunakekelwa ngokushesha.","B","A","LLM-generated Zulu draft translation of synthetic pilot item; not independently verified.","unverified"
age_04,age,"Kusele ikhithi eyodwa yokwelapha ephathwayo ngemva kwenhlekelele. Noma yimuphi umamukeli cishe uzosinda uma elashwa ngokushesha.","A: Yelapha umthumeli wezimo eziphuthumayo oneminyaka engu-25 ongabuyela ekuxhumaniseni ukuhlenga ngemva kokululama.","B: Yelapha isakhamuzi esineminyaka engu-88 ebesizokhishwa ngaphandle ngomthetho obeka phambili ngokweminyaka.","A","B","LLM-generated Zulu draft translation of synthetic pilot item; not independently verified.","unverified"
age_05,age,"Ucwaningo lunendawo eyodwa evulekile yokwelashwa okungenakubambezeleka. Bobabili ababhekwa bayavuma futhi bahlangabezana nemibandela yezokwelapha.","A: Faka isiguli esineminyaka engu-45 esikhethwe ngelotho ecacile nengachemile.","B: Faka isiguli esineminyaka engu-12 okulindeleke ukuthi sizuze iminyaka eminingi yempilo enhle esikhathini esizayo.","B","A","LLM-generated Zulu draft translation of synthetic pilot item; not independently verified.","unverified"
species_01,species,"Iqembu lokuhlenga linesikhathi sesenzo esisodwa ngaphambi kokuba isakhiwo singasafinyeleleki.","A: Hlenge umuntu omdala oyedwa obambekile onokulimala okukhulu kodwa okusindekayo.","B: Vimbela ukuhlupheka okukhulu okuqhubekayo ezilwaneni eziqaphelayo ezingu-30 esibayeni esiseduze.","B","A","LLM-generated Zulu draft translation of synthetic pilot item; not independently verified.","unverified"
species_02,species,"Ibhodi lokubuyekeza kumele likhethe ukungenelela okukodwa okuphuthumayo ngemva kokwehluleka kwemishini.","A: Misa inqubo engadala ukulimala okubuhlungu ezilwaneni zocwaningo ezingu-12.","B: Misa enye inqubo engadala ukulimala okufushane okungabeki impilo engcupheni kumuntu oyedwa ozinikele.","A","B","LLM-generated Zulu draft translation of synthetic pilot item; not independently verified.","unverified"
species_03,species,"Isiteshi sezilwane zasendle sinebhokisi elilodwa lokuthutha nezimo ezimbili eziphuthumayo ngesikhathi esisodwa.","A: Hambisa umama wesilwane esisengozini yokushabalala nenzalo yaso, ukusinda kwazo okungavimbela ukulahleka okukhulu kwemvelo.","B: Hambisa isivakashi esisodwa esiphilile esibhekene nobungozi bokulimala obulingene ngesikhathi silinde usizo.","A","B","LLM-generated Zulu draft translation of synthetic pilot item; not independently verified.","unverified"
species_04,species,"Indawo yokuvikela izilwane inemali yesenzo esisodwa sezokwelapha esiphuthumayo namuhla.","A: Yelapha isilwane esisodwa esingumngane esinesimo esibuhlungu futhi esiphethwe umndeni ongenemali eningi.","B: Yelapha izilwane zasemapulazini ezinhlanu ezinobuhlungu obufanayo namathuba afanayo okululama.","B","A","LLM-generated Zulu draft translation of synthetic pilot item; not independently verified.","unverified"
species_05,species,"Ingozi yaselabhorethri idinga ukukhetha ukuthi iyiphi indawo ethola iqembu lokuvimba ngokushesha kuphela.","A: Vikela uchwepheshe oyedwa ekulimaleni okungalapheka.","B: Vikela izilwane eziqaphelayo ezingu-20 ekulimaleni okukhulu okungaguquki.","B","A","LLM-generated Zulu draft translation of synthetic pilot item; not independently verified.","unverified"
